date,lhb_stock_count,lhb_net_buy,lhb_turnover,famous_seat_count,famous_seat_net_buy,lasa_buy,lasa_net_buy
2026-07-15,77,702456276.2000002,35234894295.56,5,266381531.46000004,563106224.4599999,-170726479.63
2026-07-16,85,1283235146.2399998,45011249754.44,1,-4671393.14,580480270.34,-103398615.64
2026-07-17,68,531651393.88999975,34092292513.29,4,-7192183.6000000015,482544753.3,129087509.03
2026-07-20,123,6149452454.879999,167979215917.41998,4,59867130.69,1042574413.86,258773133.38
2026-07-21,95,-3503407803.67,147281203789.99002,4,347802787.58,884570490.3900001,116543642.00999998
2026-07-22,75,221757547.96000004,61589281546.100006,5,198788729.10000002,590958438.0,-180654245.64999998
2026-07-23,72,1037267720.9700001,82859174650.89,4,65789394.21,442092927.49,-250477720.76
2026-07-24,72,625186496.54,19414545521.899998,2,10000869.0,398801369.46000004,63456999.18
2026-07-27,72,2035735946.28,36383544536.13999,4,-35635275.41,364106390.7,64139726.150000006
2026-07-28,76,2736683821.830001,57606513730.229996,4,-29376360.16,446098681.65,118304237.01
2026-07-29,68,-1062752420.7399997,53054592921.68,1,135804726.0,684414729.83,184369333.51999998
2026-07-30,104,-5613735565.19,100898304130.91,1,-7838280.0,734929475.63,58356625.39000001
2026-07-31,72,3458522544.66,38965630030.0,4,-89482771.0,677410393.3299999,-37170916.02
2026-08-03,52,1247941434.9299998,26655093575.79,2,-681032.3300000001,154010893.2,42316077.62
2026-08-04,85,7020809815.789999,69287445788.01001,3,45676649.29000001,522119715.16999996,83957323.02000001
2026-08-05,66,3121315840.69,52641896718.11,2,-29379740.88,159744684.92000002,-45739596.45999999
2026-08-06,96,-2966595738.6700006,156436317484.66998,2,5803793.789999999,438535554.26000005,147440652.08
2026-08-07,66,1313225180.5300004,55642779367.51,2,3412156.870000001,429254131.68,120032246.77000001
2026-08-10,62,-266150052.59999996,27374768425.379997,2,7991495.65,477134928.44,45299648.739999995
2026-08-11,61,1344805965.0799997,29102101872.440002,3,9361103.63,435655986.67,-9684099.459999997
2026-08-12,46,1409483916.81,16025637923.030003,4,-27522531.090000004,245032002.44,96675786.55
2026-08-13,71,1048100532.9399997,27833757652.820004,1,18566742.06,370064329.43,135981145.93
2026-08-17,58,1789362251.5800002,28353946311.820004,3,236294130.0,437322306.74,134895430.57
2026-08-18,72,1361558969.0999997,81550154440.0,4,62823095.39,279313867.53000003,72829315.32000002
2026-08-19,74,-2676349812.79,26354301820.43,3,-5123502.969999999,562371716.06,144183770.88
