代码,名称,融资买入占成交额%,融资余额占流通市值%,当日涨跌幅%,当日振幅%,数据日期
600783,鲁信创投,51.26,4.97,-8.16,8.16,2026-08-20
301209,联合化学,48.75,4.79,-0.1,4.18,2026-08-20
601011,宝泰隆,41.15,3.38,-10.0,0.94,2026-08-20
603050,科林电气,40.86,2.38,0.22,2.76,2026-08-20
300349,金卡智能,37.53,10.12,-0.48,2.13,2026-08-20
688533,上声电子,37.26,2.07,-0.95,1.95,2026-08-20
301337,亚华电子,36.59,2.33,-1.12,3.22,2026-08-20
688739,成大生物,36.31,3.51,-3.99,3.85,2026-08-20
688218,江苏北人,35.98,11.4,3.09,7.93,2026-08-20
301258,富士莱,35.82,2.77,-1.93,3.48,2026-08-20
002367,康力电梯,34.94,4.31,-0.56,1.86,2026-08-20
688057,金达莱,34.71,4.18,-6.63,7.05,2026-08-20
688108,赛诺医疗,34.64,9.01,-0.54,2.8,2026-08-20
688619,罗普特,34.2,3.14,-0.13,3.37,2026-08-20
301632,广东建科,33.93,4.79,-1.84,1.91,2026-08-20
002053,云南能投,33.91,4.82,-0.65,1.85,2026-08-20
001301,尚太科技,32.91,1.08,-1.53,3.63,2026-08-20
688273,麦澜德,32.86,3.86,-2.66,4.26,2026-08-20
688056,莱伯泰科,31.15,2.34,0.99,4.67,2026-08-20
688289,圣湘生物,30.54,3.99,-9.57,6.65,2026-08-20
600025,华能水电,30.37,0.84,-0.73,1.87,2026-08-20
000006,深振业Ａ,29.94,7.65,-1.12,2.94,2026-08-20
300358,楚天科技,29.73,5.74,-2.7,4.0,2026-08-20
600035,楚天高速,29.21,2.22,-0.59,0.89,2026-08-20
603067,振华股份,28.84,3.07,-0.06,4.39,2026-08-20
688526,科前生物,28.83,2.61,-3.39,3.03,2026-08-20
603297,永新光学,28.68,2.32,-0.36,4.08,2026-08-20
301380,挖金客,28.64,6.25,-1.47,3.73,2026-08-20
301103,何氏眼科,28.15,3.52,-3.35,4.1,2026-08-20
688708,佳驰科技,27.88,4.07,-0.4,1.41,2026-08-20
002048,宁波华翔,27.73,9.07,1.74,3.58,2026-08-20
688539,高华科技,27.18,4.51,-1.39,3.24,2026-08-20
601868,中国能建,26.74,1.82,-0.4,0.79,2026-08-20
688265,南模生物,26.71,2.75,-5.69,6.87,2026-08-20
600132,重庆啤酒,26.37,2.1,-2.11,2.41,2026-08-20
688016,心脉医疗,26.25,4.05,-1.13,1.92,2026-08-20
603039,泛微网络,26.17,5.2,-0.12,5.29,2026-08-20
301003,江苏博云,26.16,6.9,-0.78,3.26,2026-08-20
688003,天准科技,26.09,2.53,-2.48,7.87,2026-08-20
300183,东软载波,25.96,5.0,0.87,2.9,2026-08-20
301251,威尔高,25.94,6.12,-1.38,6.57,2026-08-20
000913,钱江摩托,25.91,3.13,-1.06,2.02,2026-08-20
600620,天宸股份,25.85,7.55,-0.91,3.63,2026-08-20
601108,财通证券,25.84,4.95,0.84,3.1,2026-08-20
301101,明月镜片,25.83,3.16,-0.64,2.94,2026-08-20
301588,美新科技,25.81,8.98,-0.4,5.14,2026-08-20
688418,震有科技,25.58,8.29,0.61,3.5,2026-08-20
301088,戎美股份,25.52,2.01,-1.81,3.54,2026-08-20
600977,中国电影,25.42,2.28,0.17,1.26,2026-08-20
688608,恒玄科技,25.4,4.33,-2.96,3.15,2026-08-20
688129,东来技术,25.36,1.72,-1.27,2.83,2026-08-20
002768,国恩股份,25.3,3.57,-0.44,3.53,2026-08-20
688667,菱电电控,25.27,6.67,-1.34,3.51,2026-08-20
600157,永泰能源,25.27,4.18,0.0,1.29,2026-08-20
688767,博拓生物,25.06,4.05,0.3,4.21,2026-08-20
688613,奥精医疗,24.97,6.26,-2.15,3.29,2026-08-20
688578,艾力斯,24.94,2.1,-3.54,4.01,2026-08-20
002088,鲁阳节能,24.81,2.73,0.24,3.41,2026-08-20
688135,利扬芯片,24.75,6.46,-1.01,3.62,2026-08-20
688579,地纬智能,24.74,6.98,-0.87,2.12,2026-08-20
002355,兴民智通,24.71,12.81,-0.41,2.07,2026-08-20
002350,北京科锐,24.68,7.2,-0.69,3.02,2026-08-20
300952,恒辉安防,24.49,6.31,0.98,3.68,2026-08-20
600251,冠农股份,24.47,5.2,-1.9,2.85,2026-08-20
300887,谱尼测试,24.45,4.09,-1.92,2.88,2026-08-20
688325,赛微微电,24.34,4.89,1.11,5.9,2026-08-20
301195,北路智控,24.25,3.21,-0.04,2.04,2026-08-20
688298,东方生物,24.21,4.23,-3.14,3.84,2026-08-20
601818,光大银行,24.17,1.09,0.0,0.99,2026-08-20
600222,太龙药业,23.94,9.58,-3.33,4.44,2026-08-20
688187,时代电气,23.9,2.54,1.38,3.98,2026-08-20
002011,盾安环境,23.82,5.43,-0.2,1.21,2026-08-20
688468,科美诊断,23.82,6.0,-3.23,3.54,2026-08-20
601698,中国卫通,23.73,1.44,0.29,2.26,2026-08-20
688139,海尔生物,23.7,2.67,-1.66,3.23,2026-08-20
688330,宏力达,23.69,4.8,-0.06,2.39,2026-08-20
688253,英诺特,23.68,4.42,-1.63,3.55,2026-08-20
002847,盐津铺子,23.59,2.61,-1.99,2.41,2026-08-20
600170,上海建工,23.58,3.57,-0.88,1.76,2026-08-20
688259,创耀科技,23.57,5.95,0.65,2.63,2026-08-20
000565,渝三峡Ａ,23.56,4.59,-0.17,2.99,2026-08-20
002840,华统股份,23.52,6.82,-0.6,2.89,2026-08-20
688013,天臣医疗,23.51,4.89,-4.17,3.33,2026-08-20
688186,广大特材,23.39,9.62,0.95,2.91,2026-08-20
688687,凯因科技,22.98,7.28,-2.73,3.75,2026-08-20
688582,芯动联科,22.93,5.2,-2.37,3.73,2026-08-20
688570,天玛智控,22.91,3.76,-1.61,2.0,2026-08-20
