代码,名称,融资买入占成交额%,融资余额占流通市值%,当日涨跌幅%,当日振幅%
688232,新点软件,59.29,2.95,-1.02,1.53
600469,风神股份,51.53,3.37,-0.74,1.49
603167,渤海轮渡,48.9,2.49,-0.12,0.73
300931,通用电梯,37.53,10.68,1.06,4.82
688292,浩瀚深度,37.49,4.16,-1.55,1.83
688602,康鹏科技,37.15,3.77,-1.59,2.17
688057,金达莱,36.08,5.09,-1.1,2.81
688646,逸飞激光,34.79,2.84,-5.74,5.0
603501,豪威集团,33.32,4.92,-1.35,1.02
688186,广大特材,33.17,10.35,-0.29,2.08
688069,德林海,33.13,5.48,-0.44,2.85
002997,瑞鹄模具,31.95,5.55,-0.71,2.21
688677,海泰新光,31.71,4.68,-2.45,6.39
301234,五洲医疗,31.3,3.86,0.75,3.41
601868,中国能建,30.61,1.73,0.0,0.8
