date,etf_total_shares,etf_total_value,etf_total_turnover,new_equity_fund_count_7d,new_equity_fund_amt_7d,etf_shares_chg
2026-07-15,3049272120795.0,3863285499784.528,343846854782.089,0,0.0,
2026-07-16,3048848868513.0,3863754054669.7305,343846854782.089,0,0.0,-423252282.0
2026-07-17,3067716020911.0,3752932379730.138,458658049827.641,1,0.0,18867152398.0
2026-07-20,3077486590157.0,3785388342794.79,432561853867.98,1,0.0,9770569246.0
2026-07-21,3173565007833.0,4036335748874.717,442778441976.068,3,4.06,96078417676.0
2026-07-22,3168705630256.0,4007874176643.9863,385047945254.103,3,4.06,-4859377577.0
2026-07-23,3157171683039.0,3984295513335.077,289124752103.26697,1,0.0,-11533947217.0
2026-07-24,3168508250627.0,3933302734822.2603,304716740243.095,8,8.44,11336567588.0
2026-07-27,3170563128323.0,4000299170520.456,281120380347.989,5,7.300000000000001,2054877696.0
2026-07-28,3182052261601.0,3919595746500.6133,303715791889.55096,3,1.72,11489133278.0
2026-07-29,3202334461405.0,3978525101367.5356,350071705547.75806,3,0.24,20282199804.0
2026-07-30,3215113782120.0,3940542511297.9346,363694221962.248,2,0.24,12779320715.0
2026-07-31,3242139846750.0,4046848002855.154,395966022436.646,4,1.0,27026064630.0
2026-08-03,3228830116198.0,3982338402097.37,276016291579.499,4,1.1800000000000002,-13309730552.0
2026-08-04,3249957517645.0,4082907093316.855,310716899289.81995,4,1.1800000000000002,21127401447.0
2026-08-05,,,,2,0.42,
2026-08-06,3217408238643.0,4125848315795.492,303610648962.512,2,0.4,
2026-08-07,3200872364658.0,4155215275950.867,315251262627.834,2,0.4,-16535873985.0
2026-08-10,3182520369090.0,4145270407198.325,283470961473.51196,6,5.84,-18351995568.0
2026-08-11,3168966443011.0,4091740311734.2954,256939858939.891,8,10.639999999999999,-13553926079.0
2026-08-12,3162102165313.0,4105520531611.033,227265668928.62,2,4.8,-6864277698.0
2026-08-13,3160286652643.0,4073553479128.2476,264638203351.87802,2,0.56,-1815512670.0
2026-08-17,3143631141846.0,4120083127402.086,249156446566.272,0,0.0,-16655510797.0
2026-08-18,3134120096561.0,4095847197934.9897,252700217928.927,6,7.62,-9511045285.0
2026-08-19,3134365431436.0,3966500628315.0054,312195648492.87,6,7.62,245334875.0
2026-08-20,3137237003622.0,4000562588994.9756,265840983816.372,6,0.64,2871572186.0
2026-08-21,3157345048512.0,4038734259063.642,245369243667.72897,4,0.42,20108044890.0
2026-08-24,3147921295711.0,3975513089151.261,254784691148.94098,2,0.2,-9423752801.0
2026-08-25,3154973998526.0,3982773068657.8506,236930023200.541,6,0.68,7052702815.0
2026-08-26,3158261242659.0,4022247110456.2705,237361272404.274,2,5.08,3287244133.0
2026-08-28,3158018514502.0,4066907725687.124,237442189201.617,2,0.22,-242728157.0
2026-09-01,3147291668784.0,4017709093221.967,219230421612.14,4,9.399999999999999,-10726845718.0
2026-09-02,3144054880860.0,3952278610339.4707,220376649353.696,2,0.2,-3236787924.0
