date,turnover_510300,turnover_510050,turnover_510500,turnover_159919,turnover_588000,turnover_512100,csi300_chg,etf_spike_count
2026-07-15,7909234146.0,3732899277.0,4606762538.0,1136927215.515,9033153321.0,5645460842.0,-0.2,
2026-07-16,7909234146.0,3732899277.0,4606762538.0,1136927215.515,9033153321.0,5645460842.0,-1.85,
2026-07-17,14648790580.0,4290446418.0,5754369790.0,3996398048.667,14287477011.0,9752991503.0,-3.6,
2026-07-20,18562451759.0,4557127399.0,8720456391.0,1698553510.713,23452637630.0,8737944400.0,1.53,
2026-07-21,12894642144.0,4804729110.0,8991652651.0,2068540181.346,17322012289.0,8763987973.0,3.06,
2026-07-22,6059305801.0,2934456628.0,5831657523.0,925415331.603,13736182064.0,8180947603.0,-0.46,0
2026-07-23,2775499281.0,1806609827.0,1934738436.0,597993520.211,10026719748.0,2738518123.0,0.23,0
2026-07-24,4844479626.0,2916298761.0,2593796767.0,1094611768.8,8981897884.0,3575677638.0,-1.67,0
2026-07-27,4584814670.0,1817628036.0,4519820155.0,874996236.462,7625768835.0,4883075466.0,1.15,0
2026-07-28,7832309396.0,2310629573.0,6044394242.0,1270751508.6,10958751221.0,5302644950.0,-2.83,0
2026-07-29,6987965715.0,3079971677.0,5240945444.0,1010141897.456,12958762521.0,8083231833.0,0.67,0
2026-07-30,6953209405.0,2328312430.0,6639437982.0,1243760024.435,15258172643.0,5508013987.0,-1.1,0
2026-07-31,7016550822.0,2046505657.0,7540981109.0,1250115332.829,15471588925.0,8843934744.0,0.85,0
2026-08-03,4269964026.0,1871447698.0,2232636377.0,778814460.449,10758159109.0,3472108739.0,-0.98,0
2026-08-04,5451256791.0,1565599363.0,5034603886.0,981798355.03,10513818196.0,5108637266.0,1.27,0
2026-08-05,,,,,,,1.24,
2026-08-06,4127254988.0,1505510489.0,4636333954.0,792128715.769,7615962926.0,6983390547.0,-0.15,0
2026-08-07,4474693309.0,1566985099.0,2926724041.0,927014155.287,7740234903.0,6785066049.0,0.93,0
2026-08-10,2663755927.0,987199119.0,2574612658.0,598969271.077,6255060479.0,4612481051.0,0.16,0
2026-08-11,2541400132.0,1153111352.0,1756496857.0,470880138.506,5843747662.0,3367951533.0,-0.81,0
2026-08-12,4275919625.0,1064520190.0,1454440957.0,676381590.464,5285689889.0,3229910337.0,0.58,0
2026-08-13,4364799044.0,1274119373.0,2836638481.0,741398432.745,7483452007.0,2942882056.0,-0.57,0
2026-08-17,3985898570.0,1309954865.0,2267047815.0,773084331.394,7845391687.0,2802796757.0,1.61,0
2026-08-18,3143413605.0,1372739484.0,2505933165.0,536036696.002,6062875218.0,3420061084.0,-0.32,0
2026-08-19,7147497737.0,1793302912.0,3807705937.0,1124228894.4,10889020913.0,5561657491.0,-2.9,0
2026-08-20,3491619584.0,2029136514.0,2285923189.0,508895179.6,6513781370.0,3940218318.0,0.09,0
2026-08-21,3400014848.0,1267138642.0,2249439867.0,722401941.887,4652314628.0,2490916987.0,0.57,0
2026-08-24,4272980684.0,2070626243.0,2732054483.0,1115094890.2,6962746430.0,3412478961.0,-1.21,0
2026-08-25,3435989271.0,1152187837.0,2911233144.0,719464381.832,5720940991.0,3722855592.0,-0.24,0
2026-08-26,3935828217.0,2710243189.0,3395489241.0,783815557.8,5888654230.0,3301834136.0,0.85,0
2026-08-28,3001316406.0,1556622975.0,3303724225.0,626260145.022,6187797027.0,3021324049.0,0.84,0
2026-09-01,3962899774.0,1398182910.0,3058068054.0,1006679404.57,4368477798.0,3368155300.0,-0.3,0
