date,sse_margin_balance,sse_margin_buy,sse_margin_balance_chg,szse_margin_balance,margin_balance_total,new_investors_month,szse_margin_buy
2026-07-15,1444782928188.0,121624335799.0,-7231257726.0,1412829000000.0,2857611928188.0,99.59,
2026-07-16,1444782928188.0,121624335799.0,-7231257726.0,1412829000000.0,2857611928188.0,99.59,
2026-07-17,1392832663141.0,107304029411.0,-37988790001.0,1398204000000.0,2791036663141.0,99.59,
2026-07-20,1392832663141.0,107304029411.0,-37988790001.0,1356312000000.0,2749144663141.0,99.59,
2026-07-21,1362746855721.0,109862095409.0,-30085807420.0,1326713000000.0,2689459855721.0,99.59,
2026-07-22,1363597390293.0,136569306205.0,850534572.0,1325924000000.0,2689521390293.0,99.59,
2026-07-23,1363230592667.0,124845133621.0,-366797626.0,1327037000000.0,2690267592667.0,99.59,
2026-07-24,1358642831879.0,97298144809.0,-4587760788.0,1321804000000.0,2680446831879.0,99.59,
2026-07-27,1350644344774.0,86688961751.0,-7998487105.0,1307607000000.0,2658251344774.0,99.59,
2026-07-28,1364314690178.0,103053485889.0,13670345404.0,1303962000000.0,2668276690178.0,99.59,
2026-07-29,1349011533515.0,88529674067.0,-15303156663.0,1289506000000.0,2638517533515.0,99.59,
2026-07-30,,,,1276274000000.0,,99.59,
2026-07-31,,,,1254098000000.0,,99.59,
2026-08-03,,,,1253570000000.0,,99.59,
2026-08-04,1323258064454.0,88698958005.0,-4140204213.0,,,99.59,
2026-08-05,,,,1254738000000.0,,99.59,
2026-08-06,1335388902023.0,128976220812.0,5982164661.0,1260871000000.0,2596259902023.0,99.59,
2026-08-07,1340276883602.0,119715250280.0,4887981579.0,1266993000000.0,2607269883602.0,99.59,
2026-08-10,1344617540893.0,127114792988.0,4340657291.0,1269644000000.0,2614261540893.0,99.59,127859999999.99998
2026-08-11,1350088413944.0,118780403841.0,5470873051.0,1278204000000.0,2628292413944.0,99.59,116744000000.0
