date,code,name,type,detail,amount,category
2026-07-22,000506,招金黄金,龙虎榜,上榜:日涨幅偏离值达到7%的前5只证券;龙虎榜净买 0.5亿,50801959.3,游资
2026-07-22,600396,华电辽能,龙虎榜,上榜:有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券;龙虎榜净买 2.8亿,283241830.92,游资
2026-07-22,600602,云赛智联,龙虎榜,上榜:有价格涨跌幅限制的日价格振幅达到15%的前五只证券;龙虎榜净买 -0.9亿,-92004860.16,游资
2026-07-22,600664,哈药股份,龙虎榜,上榜:有价格涨跌幅限制的日换手率达到20%的前五只证券;龙虎榜净买 -1.9亿,-189498417.07,游资
2026-07-22,118064,联瑞转债,龙虎榜,"上榜:非上市首日,当日收盘价跌幅达15%的前五只可转债;龙虎榜净买 -0.1亿",-12090740.0,游资
2026-07-22,003001,中岩大地,龙虎榜,上榜:日跌幅偏离值达到7%的前5只证券;龙虎榜净买 -1.0亿,-101307349.6,游资
2026-07-22,002816,*ST和科,龙虎榜,上榜:连续三个交易日内，跌幅偏离值累计达到20%的证券;龙虎榜净买 -0.0亿,-2419458.47,游资
2026-07-22,000526,学大教育,龙虎榜,上榜:连续三个交易日内，涨幅偏离值累计达到20%的证券;龙虎榜净买 0.7亿,70767023.46,游资
2026-07-22,002972,科安达,回购,回购进度:董事会预案;已回购 —,,产业资本
2026-07-22,600992,贵绳股份,龙虎榜,上榜:非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券;龙虎榜净买 0.1亿,14669877.03,游资
2026-07-22,001257,盛龙股份,龙虎榜,上榜:日换手率达到20%的前5只证券;龙虎榜净买 0.0亿,3553185.41999999,游资
2026-07-22,000603,盛达资源,龙虎榜,上榜:日涨幅偏离值达到7%的前5只证券;龙虎榜净买 -0.1亿,-6442710.41,游资
2026-07-22,000676,智度股份,龙虎榜,上榜:日振幅值达到15%的前5只证券;龙虎榜净买 -0.3亿,-28844379.1,游资
2026-07-22,000779,甘咨询,龙虎榜,上榜:日跌幅偏离值达到7%的前5只证券;龙虎榜净买 -0.1亿,-5484016.0,游资
2026-07-22,000815,美利云,龙虎榜,上榜:日涨幅偏离值达到7%的前5只证券;龙虎榜净买 -0.7亿,-65193259.42,游资
2026-07-22,000889,中嘉博创,龙虎榜,上榜:连续三个交易日内，涨幅偏离值累计达到20%的证券;龙虎榜净买 0.1亿,9287252.49000001,游资
2026-07-22,000938,紫光股份,龙虎榜,上榜:连续三个交易日内，涨幅偏离值累计达到20%的证券;龙虎榜净买 2.8亿,275535786.41,游资
2026-07-22,000975,山金国际,龙虎榜,上榜:连续三个交易日内，涨幅偏离值累计达到20%的证券;龙虎榜净买 -0.9亿,-86748409.24,游资
2026-07-22,001206,依依股份,龙虎榜,上榜:连续三个交易日内，跌幅偏离值累计达到20%的证券;龙虎榜净买 -0.1亿,-10899182.57,游资
2026-07-22,600722,金牛化工,龙虎榜,上榜:有价格涨跌幅限制的日换手率达到20%的前五只证券;龙虎榜净买 0.7亿,68125124.82,游资
2026-07-22,301583,托伦斯,龙虎榜,上榜:日涨幅达到15%的前5只证券;龙虎榜净买 1.9亿,192668794.28,游资
2026-07-22,000539,粤电力A,龙虎榜,上榜:连续三个交易日内，涨幅偏离值累计达到20%的证券;龙虎榜净买 -0.1亿,-8460427.42000002,游资
2026-07-22,600227,赤天化,龙虎榜,上榜:有价格涨跌幅限制的日价格振幅达到15%的前五只证券;龙虎榜净买 0.1亿,6516901.0,游资
2026-07-22,688429,时创能源,回购,回购进度:董事会预案;已回购 —,,产业资本
2026-07-22,603037,凯众股份,回购,回购进度:股东大会通过;已回购 —,,产业资本
2026-07-22,002913,奥士康,回购,回购进度:实施中;已回购 0.1亿,10413761.65,产业资本
2026-07-22,301520,万邦医药,龙虎榜,上榜:日换手率达到30%的前5只证券;龙虎榜净买 0.2亿,15178830.96,游资
2026-07-22,300534,陇神戎发,龙虎榜,上榜:日换手率达到30%的前5只证券;龙虎榜净买 -0.5亿,-51788770.5,游资
2026-07-22,301536,星宸科技,龙虎榜,上榜:连续三个交易日内，涨幅偏离值累计达到30%的证券;龙虎榜净买 -9.2亿,-922645753.31,游资
2026-07-22,300779,惠城环保,龙虎榜,上榜:连续三个交易日内，涨幅偏离值累计达到30%的证券;龙虎榜净买 2.7亿,269778795.62,游资
2026-07-22,600176,中国巨石,龙虎榜,上榜:有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券;龙虎榜净买 -6.0亿,-595115771.12,游资
2026-07-22,300834,星辉环材,龙虎榜,上榜:日涨幅达到15%的前5只证券;龙虎榜净买 -0.0亿,-2725894.84999999,游资
2026-07-22,600289,ST信通,龙虎榜,上榜:非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券;龙虎榜净买 -0.0亿,-4982328.05,游资
2026-07-22,301228,实朴检测,龙虎榜,上榜:连续三个交易日内，涨幅偏离值累计达到30%的证券;龙虎榜净买 -0.2亿,-17112895.12,游资
2026-07-22,600403,大有能源,龙虎榜,上榜:有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券;龙虎榜净买 0.2亿,19174366.7,游资
2026-07-22,301273,瑞晨环保,龙虎榜,上榜:连续三个交易日内，涨幅偏离值累计达到30%的证券;龙虎榜净买 0.1亿,7370916.35000001,游资
2026-07-22,600605,汇通能源,龙虎榜,上榜:有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券;龙虎榜净买 -0.2亿,-18369308.98,游资
2026-07-22,002577,雷柏科技,回购,回购进度:实施中;已回购 0.0亿,1049591.0,产业资本
2026-07-22,300164,通源石油,龙虎榜,上榜:日换手率达到30%的前5只证券;龙虎榜净买 -0.6亿,-62822272.0,游资
2026-07-22,600580,卧龙电驱,回购,回购进度:nan;已回购 —,,产业资本
2026-07-22,300688,创业黑马,龙虎榜,上榜:日涨幅达到15%的前5只证券;龙虎榜净买 0.9亿,94198286.35,游资
2026-07-22,301290,东星医疗,回购,回购进度:董事会预案;已回购 —,,产业资本
2026-07-22,300795,米奥会展,龙虎榜,上榜:日换手率达到30%的前5只证券;龙虎榜净买 -0.1亿,-9098024.76,游资
2026-07-22,300852,四会富仕,回购,回购进度:董事会预案;已回购 —,,产业资本
2026-07-22,301190,善水科技,龙虎榜,上榜:连续三个交易日内，涨幅偏离值累计达到30%的证券;龙虎榜净买 -0.6亿,-60937354.1,游资
2026-07-22,300720,海川智能,回购,回购进度:董事会预案;已回购 —,,产业资本
2026-07-22,301234,五洲医疗,龙虎榜,上榜:日涨幅达到15%的前5只证券;龙虎榜净买 0.1亿,14965440.0,游资
2026-07-22,002370,亚太药业,回购,回购进度:nan;已回购 —,,产业资本
2026-07-22,603588,高能环境,回购,回购进度:董事会预案;已回购 —,,产业资本
2026-07-22,123118,惠城转债,龙虎榜,上榜:日涨幅达到15%的前5只可转债;龙虎榜净买 0.1亿,5297785.75999999,游资
