date,limit_up,limit_down,boards_ge2,max_board,adv_ratio,seal_rate,yesterday_zt_ret,turnover_yuan,turnover_vs_5d,sh_chg,sz_chg,cyb_chg
2026-04-22,0,,0,0,,,,2560861634619.57,,0.52,1.302524205487338,1.7300918936810283
2026-04-23,0,,0,0,,,,2805801975502.09,,-0.32,-0.8818243261674026,-0.8663492646343709
2026-04-24,0,,0,0,,,,2644281445623.4,,-0.33,-0.6856672296359767,-1.410175184604678
2026-04-27,0,,0,0,,,,2590887818173.08,,0.16,0.3711237143080325,-0.5179420276815528
2026-04-28,0,,0,0,,,,2539134512832.38,,-0.19,-1.102265788942303,-1.4272136391590855
2026-04-29,0,,0,0,,,,2592738969947.29,0.9865099325036902,0.71,1.9585912906920304,2.5149636668156954
2026-04-30,0,,0,0,,,,2742229143386.76,1.0408644454719296,0.11,-0.0884205282971204,-0.2717532805665481
2026-05-06,0,,0,0,,,,3228536720920.06,1.231394370343323,1.17,2.3303773946713946,2.746993050048569
2026-05-07,0,,0,0,,,,3145713505296.54,1.1486133073431963,0.48,1.1790072922897985,1.4530357245420238
2026-05-08,0,,0,0,,,,3050349150167.42,1.070421676726391,0.0,-0.4992300800555632,-0.963434668464352
2026-05-11,0,,0,0,,,,3540561647184.05,1.1994123979752471,1.08,2.1556757647250167,3.499513188174898
2026-05-12,0,,0,0,,,,3244070649885.52,1.0326574355778046,-0.25,-0.4678255686947729,0.1503700457167673
2026-05-13,0,,0,0,,,,3242061238438.2,1.000066290541036,0.67,1.6734870272022182,2.629075026900426
2026-05-14,0,,0,0,,,,3363884251058.72,1.0367795125130417,-1.52,-2.13808804599748,-2.159133484039088
2026-05-15,0,,0,0,,,,3347490182429.17,1.018035721255437,-1.02,-1.170882072454418,-0.5587248237217619
2026-05-18,0,,0,0,,,,2897070201887.73,0.8654135612467476,-0.09,-0.2001301684710064,-0.3611292664105204
2026-05-19,0,,0,0,,,,2889991298037.9,0.8978152652175638,0.92,0.2554888276277181,-0.1644241514735438
2026-05-20,0,,0,0,,,,2956048998125.0303,0.9389947997993506,-0.18,0.0004624305077744,0.3415942634883836
2026-05-21,0,,0,0,,,,3485225697062.51,1.1275774354504944,-2.04,-2.0726296419539088,-2.346123159609052
2026-05-22,0,,0,0,,,,2907569116116.09,0.9333595039003209,0.87,2.295663269840221,2.838884436934872
2026-05-25,0,,0,0,,,,3209078432977.29,1.0600880380100188,0.96,1.6625508894265468,2.0987167202149424
2026-05-26,0,,0,0,,,,3245368233361.96,1.0504228368677195,-0.17,0.1233113509129623,0.5447681763471225
2026-05-27,0,,0,0,,,,3240822531190.35,1.025363210204604,-1.25,-0.8798977435542915,0.0669541382703209
2026-05-28,0,,0,0,,,,2970106162784.51,0.9230775563820512,0.12,0.7970148830719299,1.9601198584300128
2026-05-29,0,,0,0,,,,3320878384274.48,1.066233296246789,-0.73,-1.8078361527008329,-2.1120585686320807
2026-06-01,0,,0,0,,,,2878684456546.91,0.9003624309170485,-0.27,-1.507389920369226,-2.1547562117519456
2026-06-02,0,,0,0,,,,2794079272739.16,0.892342967462547,0.43,1.6347208630621144,2.655771039977036
2026-06-03,0,,0,0,,,,3133656316564.69,1.030498116728045,0.22,0.7285104708267338,1.654786357850138
2026-06-04,0,,0,0,,,,2763920342440.19,0.9153627451099178,-0.64,-0.2746755416256867,-0.8271430397427899
2026-06-05,0,,0,0,,,,3070560318459.9297,1.0309969806222046,-0.74,-2.2148093161006663,-3.202560894366288
2026-06-08,0,,0,0,,,,2793736765108.54,0.9540863711412084,-1.7,-3.2224790560703167,-3.692582116684586
2026-06-09,0,,0,0,,,,2642633065050.0,0.9077499296233008,1.28,3.0195152385568056,3.9342197946631288
2026-06-10,0,,0,0,,,,2621313984345.4297,0.9098936948532464,-0.42,-2.060513933228825,-2.6997167160261712
2026-06-11,0,,0,0,,,,2554257761355.38,0.9193159805578398,-0.16,-0.6829230322839199,-1.129684525213157
2026-06-12,0,,0,0,,,,3219555277154.18,1.176522869143866,1.12,0.7502772695027158,0.5013321102862416
2026-06-15,0,,0,0,,,,3034048271041.79,1.0967895605531472,1.61,3.7939354319507657,5.304524152212597
2026-06-16,0,,0,0,,,,3066927341631.25,1.0897417245173444,-0.11,0.9280534957291124,1.72074867331014
2026-06-17,0,,0,0,,,,3094214484756.52,1.06725737343119,0.4,1.312292004859126,1.5624398297611757
2026-06-18,0,,0,0,,,,3312310418391.0703,1.1063897803717253,-0.43,0.9429599020864696,2.04802056515789
2026-06-22,0,0.0,0,0,,0.0,,3739187640002.04,1.1887754736879343,1.78,2.132139939972688,2.516279080705192
2026-06-23,0,0.0,0,0,,0.0,,3444102852153.14,1.0599399764187645,-1.37,-3.165692665487412,-3.83535135174812
2026-06-24,0,0.0,0,0,,0.0,,3288166037093.1104,0.9870375285925674,0.11,1.2433490793225943,1.4128640039082054
2026-06-25,0,0.0,0,0,,0.0,,3597991365228.74,1.0658831980709185,0.23,1.8239248749588808,2.835873345025093
2026-06-26,0,0.0,0,0,,0.0,,3554449603081.15,1.0224654891357314,-2.26,-3.437696688153141,-4.066341429495815
2026-06-29,107,38.0,9,3,,0.7379310344827587,1.3933244924350032,3520466636739.41,0.9987764162913388,1.16,0.1941931754480926,0.5362155295551505
2026-06-30,140,5.0,20,3,,0.8433734939759037,3.308079853723539,3278197686597.9697,0.9417306649181008,0.5,2.483331458278522,2.9884276776692107
2026-07-01,152,6.0,24,3,,0.672566371681416,3.1306640597205635,3662909794816.52,1.062373729424954,0.44,-0.5330825716141755,-1.888013757301909
2026-07-02,93,40.0,19,4,,0.6992481203007519,0.0416665790492997,3452313180577.37,0.9799904120754503,-2.03,-3.8485671220747872,-5.713774734370062
2026-07-03,108,19.0,16,4,,0.675,-0.0014492467206011,3185496629022.37,0.9117916167199236,0.37,0.6368294961465168,0.0662389635954553
2026-07-06,64,46.0,8,5,,0.6095238095238096,-1.1011362514808911,3094663845294.23,0.904905070957366,-0.06,-1.1585693923492446,-1.7680389777543628
2026-07-07,33,30.0,5,6,,0.5892857142857143,-2.148123830091208,2585116740033.9297,0.7752134106345542,-1.26,-1.243390004828502,-0.9357890631726618
2026-07-08,47,41.0,8,7,,0.7704918032786885,1.6451218083049313,2568187155641.73,0.8035377882883412,-0.49,-1.8744425739237445,-1.701369690025863
2026-07-09,75,12.0,6,8,,0.8152173913043478,1.3715901607845693,2918028565880.65,0.9801397864396362,1.65,3.0723586850013964,4.494336147727473
2026-07-10,92,4.0,10,2,,0.5027322404371585,0.6761906022155607,3392663322515.22,1.1819896848623106,-1.0,-2.2862860954303392,-4.366237002180586
2026-07-13,29,172.0,10,3,,0.6744186046511628,-2.5821716077225183,2820885348664.3,0.968799814158163,-2.06,-3.481275258911112,-3.1023248830063928
2026-07-14,81,22.0,6,3,,0.7941176470588235,3.613288930484227,2708230294175.96,0.9479358872541354,1.36,2.768147362770438,3.427404789611552
2026-07-15,72,31.0,16,4,,0.7741935483870968,1.8119526832008068,2573262000271.3203,0.8929979695977156,-0.29,-0.9746953875906958,-1.2056958763087366
2026-07-16,42,33.0,10,5,,0.6268656716417911,2.58199540960292,2407627704765.26,0.8352237875152498,-1.85,-1.9672116505979007,-2.950216363743416
2026-07-17,33,192.0,9,5,,0.7674418604651163,-0.2365616629290026,2657733985720.6104,0.9558359077421864,-3.05,-5.395739314362814,-7.1450256563583485
2026-07-20,53,211.0,7,3,0.3335284933645589,0.5824175824175825,-0.1354710784825411,2703977578127.8896,1.0267432812968504,0.85,-0.7051420293627658,0.4220927892481765
2026-07-21,121,21.0,5,4,0.5639614855570839,0.937984496124031,1.3643751913365327,2960510844409.23,1.1342230685087662,1.79,4.8056495146922895,7.053726552393748
2026-07-22,47,8.0,12,5,0.28177882723337266,0.5662650602409639,1.5446840500043444,2655628318435.9297,0.9981229564253834,0.07,-1.4221176502919044,-3.234888844697285
